region,year,esbl_carba_cases,esbl_carba_incidence,vre_cases,vre_incidence,mrsa_cases,mrsa_incidence
Blekinge,2015,1,0.64,0,0,49,31.36
Blekinge,2016,2,1.26,2,1.26,191,120.54
Blekinge,2017,2,1.25,2,1.25,87,54.59
Blekinge,2018,4,2.5,2,1.25,91,56.99
Blekinge,2019,7,4.39,6,3.76,101,63.28
Blekinge,2020,1,0.63,5,3.14,88,55.33
Blekinge,2021,4,2.52,2,1.26,49,30.83
Blekinge,2022,4,2.52,19,11.97,45,28.35
Blekinge,2023,7,4.43,1,0.63,57,36.08
Blekinge,2024,3,1.91,7,4.45,45,28.62
Blekinge,2025,5,3.18,3,1.91,60,38.16
Dalarna,2015,1,0.36,0,0,121,43.06
Dalarna,2016,2,0.7,2,0.7,101,35.5
Dalarna,2017,1,0.35,2,0.7,81,28.31
Dalarna,2018,0,0,1,0.35,133,46.31
Dalarna,2019,4,1.39,3,1.04,121,42.02
Dalarna,2020,3,1.04,1,0.35,59,20.51
Dalarna,2021,2,0.69,2,0.69,91,31.55
Dalarna,2022,2,0.69,4,1.39,113,39.19
Dalarna,2023,4,1.39,1,0.35,102,35.51
Dalarna,2024,8,2.79,9,3.14,102,35.6
Dalarna,2025,12,4.19,1,0.35,73,25.48
Gotland,2015,0,0,0,0,10,17.42
Gotland,2016,0,0,1,1.72,32,55.17
Gotland,2017,0,0,1,1.71,19,32.43
Gotland,2018,0,0,0,0,14,23.63
Gotland,2019,0,0,2,3.35,16,26.81
Gotland,2020,0,0,0,0,14,23.29
Gotland,2021,0,0,1,1.64,24,39.34
Gotland,2022,0,0,1,1.63,24,39.23
Gotland,2023,1,1.64,0,0,17,27.86
Gotland,2024,1,1.64,0,0,9,14.76
Gotland,2025,0,0,0,0,12,19.68
Gävleborg,2015,0,0,9,3.19,74,26.26
Gävleborg,2016,2,0.7,7,2.46,84,29.52
Gävleborg,2017,0,0,4,1.4,65,22.76
Gävleborg,2018,4,1.4,2,0.7,118,41.18
Gävleborg,2019,4,1.39,2,0.7,100,34.8
Gävleborg,2020,7,2.43,2,0.7,76,26.43
Gävleborg,2021,3,1.04,13,4.52,93,32.32
Gävleborg,2022,3,1.04,59,20.53,71,24.71
Gävleborg,2023,10,3.5,68,23.81,96,33.61
Gävleborg,2024,7,2.46,68,23.9,75,26.36
Gävleborg,2025,23,8.08,29,10.19,109,38.31
Halland,2015,3,0.95,4,1.27,137,43.52
Halland,2016,2,0.62,3,0.94,169,52.76
Halland,2017,5,1.54,19,5.85,147,45.26
Halland,2018,8,2.43,5,1.52,114,34.61
Halland,2019,4,1.2,6,1.8,123,36.84
Halland,2020,0,0,0,0,95,28.21
Halland,2021,5,1.47,6,1.76,84,24.69
Halland,2022,3,0.88,7,2.04,98,28.59
Halland,2023,3,0.87,2,0.58,105,30.55
Halland,2024,3,0.87,0,0,116,33.62
Halland,2025,11,3.19,24,6.96,110,31.88
Jämtland,2015,0,0,0,0,57,44.75
Jämtland,2016,1,0.78,0,0,91,70.72
Jämtland,2017,1,0.77,0,0,51,39.29
Jämtland,2018,1,0.77,6,4.61,34,26.1
Jämtland,2019,2,1.53,0,0,45,34.4
Jämtland,2020,0,0,0,0,30,22.87
Jämtland,2021,0,0,0,0,18,13.63
Jämtland,2022,1,0.75,0,0,29,21.86
Jämtland,2023,2,1.51,1,0.75,22,16.59
Jämtland,2024,4,3.01,0,0,24,18.07
Jämtland,2025,3,2.26,0,0,25,18.82
Jönköping,2015,4,1.15,4,1.15,195,56.06
Jönköping,2016,2,0.57,6,1.7,175,49.61
Jönköping,2017,3,0.84,2,0.56,122,34.15
Jönköping,2018,5,1.39,4,1.11,113,31.32
Jönköping,2019,7,1.93,5,1.38,127,34.93
Jönköping,2020,6,1.64,1,0.27,98,26.85
Jönköping,2021,6,1.63,6,1.63,84,22.88
Jönköping,2022,8,2.17,3,0.81,130,35.22
Jönköping,2023,11,2.98,2,0.54,111,30.09
Jönköping,2024,11,2.97,43,11.62,129,34.86
Jönköping,2025,18,4.86,15,4.05,140,37.84
Kalmar,2015,6,2.52,4,1.68,174,73.21
Kalmar,2016,6,2.48,3,1.24,255,105.24
Kalmar,2017,2,0.82,0,0,174,71.45
Kalmar,2018,0,0,2,0.82,127,51.91
Kalmar,2019,3,1.22,2,0.81,120,48.89
Kalmar,2020,2,0.81,0,0,68,27.64
Kalmar,2021,3,1.21,1,0.4,83,33.58
Kalmar,2022,3,1.21,15,6.06,96,38.75
Kalmar,2023,4,1.62,0,0,90,36.49
Kalmar,2024,2,0.81,0,0,88,35.72
Kalmar,2025,4,1.62,1,0.41,65,26.39
Kronoberg,2015,4,2.09,4,2.09,110,57.48
Kronoberg,2016,1,0.51,1,0.51,127,65.25
Kronoberg,2017,1,0.51,7,3.54,101,51.13
Kronoberg,2018,1,0.5,2,1,105,52.53
Kronoberg,2019,2,0.99,0,0,91,45.17
Kronoberg,2020,2,0.99,1,0.49,70,34.61
Kronoberg,2021,3,1.48,1,0.49,79,38.85
Kronoberg,2022,5,2.45,2,0.98,75,36.7
Kronoberg,2023,5,2.45,3,1.47,88,43.2
Kronoberg,2024,9,4.43,2,0.98,107,52.62
Kronoberg,2025,4,1.97,1,0.49,92,45.24
Norrbotten,2015,1,0.4,0,0,69,27.63
Norrbotten,2016,0,0,12,4.79,162,64.65
Norrbotten,2017,1,0.4,0,0,115,45.76
Norrbotten,2018,4,1.6,2,0.8,116,46.31
Norrbotten,2019,3,1.2,1,0.4,68,27.19
Norrbotten,2020,2,0.8,1,0.4,58,23.24
Norrbotten,2021,1,0.4,0,0,78,31.24
Norrbotten,2022,4,1.61,0,0,45,18.06
Norrbotten,2023,5,2.01,2,0.8,86,34.61
Norrbotten,2024,6,2.41,0,0,53,21.32
Norrbotten,2025,10,4.02,1,0.4,84,33.79
Skåne,2015,14,1.07,25,1.92,725,55.61
Skåne,2016,11,0.83,23,1.74,718,54.21
Skåne,2017,12,0.89,17,1.26,638,47.45
Skåne,2018,12,0.88,24,1.76,591,43.39
Skåne,2019,26,1.89,20,1.45,542,39.34
Skåne,2020,16,1.15,8,0.58,398,28.65
Skåne,2021,15,1.07,10,0.71,356,25.38
Skåne,2022,25,1.77,17,1.2,402,28.42
Skåne,2023,38,2.67,43,3.02,447,31.44
Skåne,2024,54,3.78,28,1.96,604,42.28
Skåne,2025,41,2.87,40,2.8,522,36.54
Stockholm,2015,43,1.93,56,2.51,837,37.51
Stockholm,2016,57,2.51,48,2.12,800,35.26
Stockholm,2017,47,2.04,93,4.03,745,32.28
Stockholm,2018,59,2.52,146,6.23,780,33.27
Stockholm,2019,75,3.16,99,4.16,937,39.42
Stockholm,2020,43,1.8,28,1.17,899,37.58
Stockholm,2021,53,2.19,74,3.06,751,31.1
Stockholm,2022,109,4.47,55,2.25,926,37.95
Stockholm,2023,129,5.25,94,3.83,987,40.21
Stockholm,2024,153,6.19,129,5.22,1214,49.08
Stockholm,2025,165,6.67,119,4.81,1127,45.57
Södermanland,2015,0,0,0,0,59,20.8
Södermanland,2016,2,0.69,0,0,79,27.42
Södermanland,2017,2,0.69,0,0,92,31.58
Södermanland,2018,2,0.68,44,14.93,121,41.06
Södermanland,2019,2,0.67,2,0.67,114,38.31
Södermanland,2020,3,1,4,1.34,75,25.05
Södermanland,2021,3,0.99,1,0.33,70,23.19
Södermanland,2022,4,1.32,1,0.33,75,24.79
Södermanland,2023,8,2.65,1,0.33,106,35.11
Södermanland,2024,9,2.98,1,0.33,113,37.47
Södermanland,2025,6,1.99,2,0.66,114,37.81
Uppsala,2015,2,0.56,8,2.26,95,26.82
Uppsala,2016,8,2.21,13,3.6,115,31.82
Uppsala,2017,2,0.54,7,1.9,107,29
Uppsala,2018,6,1.59,13,3.45,107,28.43
Uppsala,2019,7,1.82,32,8.34,143,37.27
Uppsala,2020,9,2.32,5,1.29,113,29.09
Uppsala,2021,5,1.27,1,0.25,97,24.56
Uppsala,2022,7,1.75,4,1,149,37.19
Uppsala,2023,9,2.22,5,1.24,152,37.57
Uppsala,2024,18,4.41,8,1.96,180,44.13
Uppsala,2025,15,3.68,10,2.45,140,34.32
Värmland,2015,3,1.09,3,1.09,165,59.8
Värmland,2016,2,0.72,1,0.36,158,56.56
Värmland,2017,1,0.36,21,7.49,118,42.08
Värmland,2018,3,1.07,5,1.78,115,40.86
Värmland,2019,2,0.71,2,0.71,102,36.12
Värmland,2020,3,1.06,1,0.35,67,23.68
Värmland,2021,1,0.35,1,0.35,49,17.3
Värmland,2022,3,1.06,1,0.35,74,26.06
Värmland,2023,5,1.76,1,0.35,55,19.4
Värmland,2024,5,1.76,1,0.35,82,28.94
Värmland,2025,10,3.53,2,0.71,64,22.58
Västerbotten,2015,7,2.66,3,1.14,69,26.2
Västerbotten,2016,4,1.5,5,1.88,74,27.83
Västerbotten,2017,3,1.12,0,0,68,25.33
Västerbotten,2018,1,0.37,95,35.17,92,34.05
Västerbotten,2019,3,1.1,6,2.21,108,39.74
Västerbotten,2020,1,0.37,0,0,87,31.85
Västerbotten,2021,2,0.73,4,1.46,95,34.6
Västerbotten,2022,4,1.45,0,0,105,38
Västerbotten,2023,4,1.44,2,0.72,102,36.59
Västerbotten,2024,9,3.2,1,0.36,79,28.1
Västerbotten,2025,3,1.07,0,0,86,30.59
Västernorrland,2015,0,0,0,0,94,38.54
Västernorrland,2016,3,1.22,0,0,154,62.71
Västernorrland,2017,3,1.22,0,0,92,37.4
Västernorrland,2018,2,0.81,3,1.22,86,35.04
Västernorrland,2019,2,0.82,0,0,67,27.31
Västernorrland,2020,2,0.82,2,0.82,44,17.99
Västernorrland,2021,1,0.41,1,0.41,53,21.7
Västernorrland,2022,0,0,0,0,48,19.73
Västernorrland,2023,2,0.83,0,0,57,23.54
Västernorrland,2024,5,2.07,1,0.41,61,25.26
Västernorrland,2025,7,2.9,1,0.41,79,32.72
Västmanland,2015,2,0.76,0,0,60,22.7
Västmanland,2016,1,0.37,13,4.86,142,53.06
Västmanland,2017,2,0.74,14,5.16,121,44.63
Västmanland,2018,1,0.37,4,1.46,125,45.63
Västmanland,2019,2,0.73,0,0,145,52.57
Västmanland,2020,4,1.44,1,0.36,115,41.5
Västmanland,2021,2,0.72,1,0.36,88,31.54
Västmanland,2022,5,1.78,3,1.07,84,29.92
Västmanland,2023,3,1.07,0,0,116,41.31
Västmanland,2024,15,5.34,3,1.07,86,30.59
Västmanland,2025,15,5.34,9,3.2,104,36.99
Västra Götaland,2015,21,1.27,22,1.33,535,32.45
Västra Götaland,2016,16,0.96,24,1.44,483,28.89
Västra Götaland,2017,23,1.36,30,1.77,466,27.56
Västra Götaland,2018,26,1.52,45,2.63,538,31.47
Västra Götaland,2019,36,2.09,25,1.45,544,31.52
