year,cases_obs,pop,pred_cases_actual,pred_cases_no_interruptions,inc_obs,inc_fit,inc_cf_no_int
2015,115,9851017,105.09186295465703,105.09186295465703,1.167392158596417,1.066812319526573,1.066812319526573
2016,127,9995153,120.62863536238257,120.62863536238257,1.2706158675109824,1.2068713241546434,1.2068713241546434
2017,116,10120242,138.25739645678976,138.25739645678976,1.1462176497360437,1.3661471381493622,1.3661471381493622
2018,144,10230185,158.21626315733027,158.21626315733027,1.4075991783139796,1.5465630695567116,1.5465630695567116
2019,201,10327589,180.79544853391477,180.79544853391477,1.946243213203004,1.7506065407319633,1.7506065407319633
2020,128,10379295,128.00817462788248,205.51711883581737,1.233224414567656,1.23330317355738,1.9800681918744711
2021,137,10452326,137.00108764056944,234.14996889692674,1.310713041288609,1.31072344701619,2.2401709332155035
2022,240,10521556,252.3125137911327,266.76577833406304,2.2810314367950904,2.398053232726535,2.535421361004618
2023,314,10551707,309.9604971334635,302.75486215923604,2.9758218267432937,2.937538894261028,2.8692500858793375
2024,410,10587710,381.0261640559782,343.8214983174105,3.8724143370001634,3.598758976737918,3.2473641450078485
2025,447,10610492,467.7337753401989,389.91542306594346,4.212811243814142,4.408219480681941,3.6748100188562742
