year,cases_obs,pop,pred_cases_actual,pred_cases_no_interruptions,inc_obs,inc_fit,inc_cf_no_int
2015,3879,9851017,4305.576116614082,4305.576116614082,39.37664507126523,43.70691997195906,43.70691997195906
2016,4392,9995153,4238.121554790332,4238.121554790332,43.94129834730894,42.4017676847001,42.4017676847001
2017,3721,10120242,4162.984509478132,4162.984509478132,36.7678954712743,41.135226899496395,41.135226899496395
2018,3856,10230185,4082.3052970422027,4082.3052970422027,37.692377997074345,39.90451098432924,39.90451098432924
2019,3856,10327589,3997.6476281584914,3997.6476281584914,37.33688472691932,38.70843067204254,38.70843067204254
2020,3112,10379295,3026.38744871793,3897.0403021863963,29.98276857917614,29.15792882578181,37.546290978206095
2021,2886,10452326,2967.5087428934903,3806.816747459414,27.61107910334982,28.390893499623818,36.420761727671085
2022,3331,10521556,3274.8023916158327,3717.0786261833723,31.658815483185183,31.12469668569775,35.32822166401407
2023,3545,10551707,3372.390266416316,3615.6075595063858,33.59645979555725,31.960613258274854,34.26561749209285
2024,3936,10587710,3475.0665405869167,3519.1144655340436,37.17517763520157,32.82170120438619,33.23773002409438
2025,3817,10610492,3576.312400264418,3420.838148637352,35.973826661383846,33.70543420855902,32.2401463441785
