year,cases_obs,pop,pred_cases_actual,pred_cases_no_interruptions,inc_obs,inc_fit,inc_cf_no_int
2015,157,9851017,181.82460993405402,181.82460993405402,1.593744077388152,1.845744555451016,1.845744555451016
2016,165,9995153,229.676257326023,229.676257326023,1.6508001428292294,2.2978763539289795,2.2978763539289795
2017,244,10120242,289.59143576312937,289.59143576312937,2.4110095390999544,2.861507024862937,2.861507024862937
2018,444,10230185,364.62569469323205,364.62569469323205,4.340097466468104,3.5642140850163715,3.5642140850163715
2019,232,10327589,458.46491408108557,458.46491408108557,2.2464100769308306,4.439225012547319,4.439225012547319
2020,79,10379295,91.00535236523466,573.5965454639971,0.7611306933659753,0.8767970499464044,5.526353624827093
2021,209,10452326,200.59466106145615,719.0887497024934,1.9995549316008703,1.919138965446123,6.879700745102032
2022,236,10521556,239.62749812065255,901.3795826938749,2.2430142461818385,2.2774910680573535,8.566979852541534
2023,260,10551707,261.5475048918113,1125.6587611208986,2.464056289660052,2.4787222095136956,10.668025193657279
2024,390,10587710,285.63348804728463,1406.5345652859457,3.6835160766586923,2.6977834493699264,13.284596624633144
2025,492,10610492,311.51087915280846,1755.0909058330838,4.636919758292076,2.935875915582505,16.541088818813336
